Truck,TimeStamp,X,Y
T136,05 Jun 2024 15:21:49:000,528542.3185,7502614.295
T136,05 Jun 2024 15:22:15:000,528596.4847,7502568.073
T136,05 Jun 2024 15:22:40:000,528616.4265,7502543.437
T136,05 Jun 2024 15:23:05:000,528610.7159,7502543.448
T136,05 Jun 2024 15:23:30:000,528610.7159,7502543.448
T136,05 Jun 2024 15:23:55:000,528610.7159,7502543.448
T136,05 Jun 2024 15:24:20:000,528610.7159,7502543.448
T136,05 Jun 2024 15:24:44:000,528610.7159,7502543.448
T136,05 Jun 2024 15:25:09:000,528610.7159,7502543.448
T136,05 Jun 2024 15:25:34:000,528610.7159,7502543.448
T136,05 Jun 2024 15:25:59:000,528610.7159,7502543.448
T136,05 Jun 2024 15:26:23:000,528610.7159,7502543.448
T136,05 Jun 2024 15:26:48:000,528585.0122,7502540.421
T136,05 Jun 2024 15:27:13:000,528587.9585,7502589.612
T136,05 Jun 2024 15:27:38:000,528496.599,7502595.93
T136,05 Jun 2024 15:28:03:000,528325.2393,7502574.722
T136,05 Jun 2024 15:28:28:000,528270.7856,7502464.128
T136,05 Jun 2024 15:28:52:000,528085.1679,7502452.167
T136,05 Jun 2024 15:29:18:000,527785.3049,7502421.961
T136,05 Jun 2024 15:29:43:000,527428.4135,7502434.897
T136,05 Jun 2024 15:30:07:000,527054.5079,7502515.5
T136,05 Jun 2024 15:30:33:000,526671.9847,7502568.436
T136,05 Jun 2024 15:30:58:000,526303.6729,7502584.44
T136,05 Jun 2024 15:31:23:000,526046.6512,7502560.276
T136,05 Jun 2024 15:31:48:000,525695.3996,7502533.19
T136,05 Jun 2024 15:32:14:000,525312.7356,7502503.073
T136,05 Jun 2024 15:32:40:000,524964.2873,7502442.142
T136,05 Jun 2024 15:33:04:000,524612.9817,7502378.134
T136,05 Jun 2024 15:33:29:000,524244.5472,7502314.144
T136,05 Jun 2024 15:33:56:000,523864.6759,7502237.864
T136,05 Jun 2024 15:34:22:000,523507.6503,7502161.54
T136,05 Jun 2024 15:34:48:000,523150.6008,7502066.759
T136,05 Jun 2024 15:35:15:000,522796.42,7501978.114
T136,05 Jun 2024 15:35:41:000,522445.1341,7501914.056
T136,05 Jun 2024 15:36:06:000,522273.5652,7501735.965
T136,05 Jun 2024 15:36:32:000,522102.2852,7501757.734
T136,05 Jun 2024 15:36:59:000,522068.0449,7501773.157
T136,05 Jun 2024 15:37:24:000,522030.9494,7501788.583
T136,05 Jun 2024 15:37:49:000,521874.0398,7501877.975
T136,05 Jun 2024 15:38:14:000,521751.4947,7502041.112
T136,05 Jun 2024 15:38:39:000,521737.2616,7502071.88
T136,05 Jun 2024 15:39:03:000,521703.0331,7502096.526
T136,05 Jun 2024 15:39:28:000,521514.5443,7502066.041
T136,05 Jun 2024 15:39:53:000,521260.3648,7502020.269
T136,05 Jun 2024 15:40:18:000,520963.3377,7501959.177
T136,05 Jun 2024 15:40:42:000,520723.4335,7501910.303
T136,05 Jun 2024 15:41:07:000,520557.8109,7501895.149
T136,05 Jun 2024 15:41:32:000,520512.1236,7501892.135
T136,05 Jun 2024 15:41:57:000,520509.2684,7501892.139
T136,05 Jun 2024 15:42:21:000,520457.9679,7501962.927
