area Id,x,y,z,heading_circle,from_loc,to_loc
1602319926159,-5878461,-394958,526119,9349,B4_99_B_0_FINGER25,INT_29
1602319926159,-5859137,-372931,526155,8858,B4_99_B_0_FINGER25,INT_29
1602319926159,-5840228,-351852,526158,8848,B4_99_B_0_FINGER25,INT_29
1602319926159,-5821300,-330782,525990,8883,B4_99_B_0_FINGER25,INT_29
1602319926159,-5807010,-314501,526149,9063,B4_99_B_0_FINGER25,INT_29
1602319926159,-5794547,-300300,526316,8992,B4_99_B_0_FINGER25,INT_29
1602319926159,-5792005,-297525,526345,9547,B4_99_B_0_FINGER25,INT_29
1602319837520,-5767122,-317119,526188,-23447,INT_29,B4_99_B_0_FINGER25
1602319837520,-5776845,-328329,526083,-23700,INT_29,B4_99_B_0_FINGER25
1602319837520,-5796737,-350460,525982,-24097,INT_29,B4_99_B_0_FINGER25
1602319837520,-5815922,-372152,526062,-23804,INT_29,B4_99_B_0_FINGER25
1602319837520,-5834746,-394159,526102,-23605,INT_29,B4_99_B_0_FINGER25
1602319837520,-5851596,-413410,526205,-23924,INT_29,B4_99_B_0_FINGER25
1602371111837,-5746256,-289050,525861,-8328,INT_29,INT_55
1602371111837,-5735275,-298481,525996,-7113,INT_29,INT_55
1602371111837,-5722502,-308654,525916,-6679,INT_29,INT_55
1602371111837,-5713883,-314733,525856,-6147,INT_29,INT_55
1602371111837,-5688957,-331311,525998,-6069,INT_29,INT_55
1602371111837,-5680511,-337029,525982,-6170,INT_29,INT_55
1608513902718,-6268612,-1147104,533932,3917,INT_30,INT_13
1608513902718,-6257209,-1143252,533634,3221,INT_30,INT_13
1608513902718,-6247039,-1140570,533348,2478,INT_30,INT_13
1608513902718,-6229422,-1136337,532904,2611,INT_30,INT_13
1608513902718,-6212744,-1132086,532347,2659,INT_30,INT_13
1608513902718,-6200351,-1128912,531893,2027,INT_30,INT_13
1608513946799,-6190301,-1155180,532361,-30649,INT_13,INT_30
1608513946799,-6206177,-1158911,532635,-30140,INT_13,INT_30
1608513946799,-6219441,-1162587,532917,-29819,INT_13,INT_30
1608513946799,-6236584,-1167887,533332,-29646,INT_13,INT_30
1608513946799,-6244867,-1171080,533434,-28556,INT_13,INT_30
1608513946799,-6254598,-1175498,533512,-27887,INT_13,INT_30
1608513946799,-6266768,-1181346,533656,-28435,INT_13,INT_30
1608513946799,-6269612,-1182617,533735,-28077,INT_13,INT_30
1611665744792,-6611997,-1233872,550293,6784,INT_115,INT_30
1611665744792,-6598888,-1224702,550190,6270,INT_115,INT_30
1611665744792,-6588606,-1217750,550346,6439,INT_115,INT_30
1611665744792,-6577341,-1209201,550463,6968,INT_115,INT_30
1611665744792,-6557078,-1192614,550515,7323,INT_115,INT_30
1611665744792,-6536341,-1175387,550793,7259,INT_115,INT_30
1611665744792,-6514871,-1156925,550797,7259,INT_115,INT_30
1611665744792,-6505037,-1149109,550702,6856,INT_115,INT_30
1611665744792,-6490919,-1138584,550123,6569,INT_115,INT_30
1611665744792,-6479447,-1130295,549239,6428,INT_115,INT_30
1611665744792,-6463209,-1119463,548055,6028,INT_115,INT_30
1611665744792,-6450514,-1111787,547182,5546,INT_115,INT_30
1611665744792,-6441791,-1107118,546618,4979,INT_115,INT_30
1611665744792,-6432785,-1103043,546030,4259,INT_115,INT_30
1611665744792,-6419124,-1097771,545126,3644,INT_115,INT_30
1611665744792,-6405385,-1093464,544117,2977,INT_115,INT_30
1611665744792,-6400748,-1092239,543794,2693,INT_115,INT_30
1611665744792,-6391440,-1090457,543172,1806,INT_115,INT_30
1611665744792,-6386777,-1089862,542890,1323,INT_115,INT_30
1611665744792,-6382114,-1089584,542656,621,INT_115,INT_30
1611665744792,-6372875,-1089463,541998,147,INT_115,INT_30
1611665744792,-6368290,-1089686,541644,-507,INT_115,INT_30
